Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
51	0.5000	2.738138	-391.170074	999.633789	58.732975	-384.856750	1003.758667	-20.914314	-366.859955	955.364807	32.698521	-360.876282	959.422363	30.110085	-294.076813	860.250244	264.429504	-446.848328	1192.322754	266.001831	-472.047119	1167.805420	242.026871	-394.490753	1204.997681	247.124512	-484.112671	1120.916504	225.142471	-405.167542	1159.003784
52	0.5100	2.742546	-391.168579	999.634949	58.737457	-384.856628	1003.757813	-20.909811	-366.858673	955.365234	32.702637	-360.874878	959.422363	30.112598	-294.076019	860.249390	264.424835	-446.865753	1192.282227	266.002808	-472.059143	1167.758667	242.013718	-394.506866	1204.974731	247.133102	-484.121185	1120.867554	225.125992	-405.199951	1158.962036
53	0.5200	2.746975	-391.167023	999.636047	58.741962	-384.856445	1003.756897	-20.905300	-366.857361	955.365601	32.706768	-360.873474	959.422363	30.115114	-294.075226	860.248535	264.420715	-446.884521	1192.235962	266.005127	-472.071655	1167.705322	241.999893	-394.525452	1204.947754	247.143509	-484.130249	1120.812256	225.107864	-405.234467	1158.915771
54	0.5300	2.751424	-391.165497	999.637146	58.746483	-384.856201	1003.756042	-20.900782	-366.856079	955.365967	32.710911	-360.872070	959.422302	30.117634	-294.074432	860.247681	264.416962	-446.904938	1192.183472	266.008728	-472.084839	1167.645020	241.985153	-394.546814	1204.916504	247.155670	-484.139893	1120.750000	225.087875	-405.271210	1158.864990
55	0.5400	2.755894	-391.163910	999.638245	58.751026	-384.855927	1003.755127	-20.896255	-366.854736	955.366394	32.715069	-360.870605	959.422302	30.120155	-294.073639	860.246765	264.413422	-446.927185	1192.124634	266.013519	-472.098907	1167.577271	241.969238	-394.571381	1204.880737	247.169464	-484.150208	1120.680542	225.065857	-405.310486	1158.809448
56	0.5500	2.760385	-391.162292	999.639343	58.755589	-384.855591	1003.754211	-20.891722	-366.853424	955.366760	32.719242	-360.869141	959.422180	30.122679	-294.072815	860.245850	264.409973	-446.951538	1192.059082	266.019318	-472.114044	1167.501953	241.951889	-394.599487	1204.840210	247.184814	-484.161316	1120.603516	225.041595	-405.352386	1158.749023
57	0.5600	2.764896	-391.160675	999.640381	58.760170	-384.855194	1003.753296	-20.887180	-366.852081	955.367126	32.723427	-360.867676	959.422119	30.125206	-294.071991	860.244934	264.406372	-446.978210	1191.986694	266.026062	-472.130402	1167.418701	241.932816	-394.631439	1204.794678	247.201584	-484.173218	1120.518555	225.014893	-405.397156	1158.683594
58	0.5700	2.769428	-391.159027	999.641479	58.764774	-384.854797	1003.752319	-20.882633	-366.850739	955.367493	32.727627	-360.866180	959.422058	30.127735	-294.071167	860.244019	264.402466	-447.007477	1191.906982	266.033569	-472.148193	1167.327026	241.911682	-394.667694	1204.744141	247.219650	-484.186005	1120.425293	224.985504	-405.444977	1158.612793
59	0.5800	2.773980	-391.157318	999.642517	58.769398	-384.854309	1003.751404	-20.878078	-366.849365	955.367859	32.731842	-360.864685	959.421936	30.130266	-294.070343	860.243103	264.398010	-447.039551	1191.819824	266.041687	-472.167542	1167.226807	241.888168	-394.708496	1204.688110	247.238861	-484.199768	1120.323242	224.953217	-405.496033	1158.536743
60	0.5900	2.778553	-391.155640	999.643555	58.774040	-384.853821	1003.750427	-20.873514	-366.847992	955.368225	32.736069	-360.863159	959.421814	30.132801	-294.069489	860.242126	264.392792	-447.074677	1191.724976	266.050232	-472.188660	1167.117798	241.861923	-394.754272	1204.626587	247.259079	-484.214508	1120.212158	224.917801	-405.550476	1158.455078
61	0.6000	2.783147	-391.153900	999.644531	58.778706	-384.853241	1003.749512	-20.868944	-366.846619	955.368530	32.740311	-360.861603	959.421631	30.135338	-294.068634	860.241211	264.386536	-447.113068	1191.622192	266.059021	-472.211731	1166.999512	241.832596	-394.805298	1204.559326	247.280121	-484.230316	1120.091797	224.878998	-405.608521	1158.367920
62	0.6100	2.787761	-391.152130	999.645569	58.783386	-384.852661	1003.748535	-20.864367	-366.845215	955.368896	32.744568	-360.860046	959.421509	30.137877	-294.067780	860.240234	264.379059	-447.154938	1191.511230	266.067871	-472.236877	1166.871826	241.799789	-394.861969	1204.486206	247.301804	-484.247253	1119.961670	224.836594	-405.670288	1158.274780
63	0.6200	2.792396	-391.150360	999.646545	58.788094	-384.852020	1003.747559	-20.859781	-366.843811	955.369263	32.748837	-360.858459	959.421326	30.140419	-294.066925	860.239197	264.370026	-447.200500	1191.391846	266.076538	-472.264252	1166.734497	241.763123	-394.924561	1204.406982	247.323944	-484.265350	1119.821533	224.790298	-405.735962	1158.175781
64	0.6300	2.797052	-391.148560	999.647522	58.792816	-384.851318	1003.746521	-20.855188	-366.842377	955.369568	32.753120	-360.856873	959.421143	30.142963	-294.066040	860.238220	264.359131	-447.250000	1191.263916	266.084808	-472.294067	1166.587280	241.722153	-394.993408	1204.321655	247.346313	-484.284668	1119.671143	224.739883	-405.805695	1158.070801
65	0.6400	2.801729	-391.146729	999.648499	58.797562	-384.850586	1003.745544	-20.850588	-366.840973	955.369873	32.757416	-360.855255	959.420959	30.145510	-294.065155	860.237183	264.346161	-447.303589	1191.127197	266.092407	-472.326416	1166.429932	241.676483	-395.068817	1204.229858	247.368729	-484.305237	1119.510254	224.685059	-405.879608	1157.959595
66	0.6500	2.806427	-391.144867	999.649414	58.802326	-384.849792	1003.744568	-20.845982	-366.839539	955.370239	32.761730	-360.853638	959.420715	30.148060	-294.064240	860.236145	264.330719	-447.361450	1190.981689	266.099091	-472.361450	1166.262329	241.625671	-395.151062	1204.131714	247.390930	-484.327118	1119.338623	224.625580	-405.957825	1157.842163
67	0.6600	2.811145	-391.143005	999.650391	58.807114	-384.848969	1003.743530	-20.841366	-366.838074	955.370544	32.766056	-360.851990	959.420471	30.150612	-294.063354	860.235107	264.312531	-447.423828	1190.827148	266.104584	-472.399353	1166.084229	241.569275	-395.240417	1204.027100	247.412689	-484.350342	1119.155884	224.561188	-406.040527	1157.718384
68	0.6700	2.815885	-391.141083	999.651306	58.811920	-384.848083	1003.742493	-20.836742	-366.836609	955.370850	32.770393	-360.850342	959.420227	30.153166	-294.062439	860.234070	264.291260	-447.490845	1190.663452	266.108582	-472.440186	1165.895630	241.506851	-395.337128	1203.915771	247.433731	-484.374939	1118.962036	224.491592	-406.127777	1157.588257
69	0.6800	2.820645	-391.139160	999.652222	58.816746	-384.847168	1003.741455	-20.832111	-366.835144	955.371155	32.774746	-360.848663	959.419983	30.155724	-294.061523	860.233032	264.266541	-447.562653	1190.490601	266.110779	-472.484131	1165.696289	241.437958	-395.441467	1203.797729	247.453812	-484.400940	1118.756714	224.416519	-406.219666	1157.451660
70	0.6900	2.825427	-391.137207	999.653137	58.821594	-384.846222	1003.740417	-20.827475	-366.833679	955.371460	32.779114	-360.846954	959.419739	30.158283	-294.060608	860.231934	264.238037	-447.639435	1190.308472	266.110901	-472.531250	1165.486206	241.362106	-395.553619	1203.672852	247.472641	-484.428375	1118.540039	224.335724	-406.316315	1157.308594
71	0.7000	2.830229	-391.135254	999.653992	58.826462	-384.845215	1003.739380	-20.822828	-366.832184	955.371704	32.783497	-360.845245	959.419434	30.160845	-294.059662	860.230835	264.205383	-447.721283	1190.117065	266.108582	-472.581665	1165.265259	241.278870	-395.673767	1203.541260	247.489929	-484.457306	1118.311768	224.248932	-406.417786	1157.158813
