Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
765	7.6400	8.332375	-388.741821	1001.915955	64.405861	-382.706757	1005.067627	-15.897546	-364.681366	957.709717	37.801754	-358.877716	960.634705	34.294479	-293.246338	861.170044	213.840195	-470.515839	1207.713623	180.059677	-479.314697	1204.934082	257.355621	-442.978943	1180.615479	139.467697	-475.454956	1173.577637	218.386963	-440.127869	1148.920410
766	7.6500	8.343332	-388.749146	1001.914124	64.416061	-382.712738	1005.063904	-15.889709	-364.687408	957.709290	37.808941	-358.882568	960.632690	34.297020	-293.248169	861.170593	213.949829	-470.193359	1207.694336	180.171616	-478.988129	1204.936646	257.448395	-442.693634	1180.560913	139.564880	-475.158539	1173.590210	218.459625	-439.874969	1148.883057
767	7.6600	8.354216	-388.756439	1001.912231	64.426193	-382.718719	1005.060181	-15.881920	-364.693420	957.708801	37.816086	-358.887421	960.630737	34.299549	-293.250000	861.171143	214.079697	-469.876740	1207.669067	180.304565	-478.665497	1204.936279	257.555969	-442.416138	1180.498413	139.678040	-474.863647	1173.604492	218.541321	-439.627167	1148.842529
768	7.6700	8.365024	-388.763702	1001.910400	64.436264	-382.724670	1005.056458	-15.874179	-364.699432	957.708313	37.823193	-358.892242	960.628723	34.302074	-293.251831	861.171692	214.226776	-469.568054	1207.638550	180.455460	-478.349426	1204.933350	257.675903	-442.147614	1180.429443	139.804794	-474.573029	1173.620361	218.630341	-439.385681	1148.799683
769	7.6800	8.375754	-388.770935	1001.908508	64.446266	-382.730591	1005.052734	-15.866488	-364.705414	957.707825	37.830254	-358.897095	960.626709	34.304588	-293.253632	861.172180	214.387497	-469.269440	1207.604004	180.620682	-478.042542	1204.927979	257.805328	-441.889252	1180.355835	139.942291	-474.289429	1173.637451	218.724747	-439.151794	1148.755249
770	7.6900	8.386406	-388.778137	1001.906677	64.456192	-382.736511	1005.049011	-15.858846	-364.711395	957.707336	37.837280	-358.901917	960.624756	34.307091	-293.255432	861.172607	214.557861	-468.982849	1207.566528	180.796127	-477.747345	1204.920654	257.941101	-441.641937	1180.279419	140.087357	-474.015594	1173.655273	218.822495	-438.926727	1148.710449
771	7.7000	8.396976	-388.785309	1001.904785	64.466057	-382.742401	1005.045288	-15.851256	-364.717377	957.706787	37.844257	-358.906738	960.622681	34.309586	-293.257233	861.173035	214.733536	-468.710083	1207.527344	180.977295	-477.466309	1204.911987	258.079895	-441.406616	1180.202148	140.236542	-473.754211	1173.673462	218.921356	-438.711639	1148.666016
772	7.7100	8.407465	-388.792450	1001.902893	64.475838	-382.748291	1005.041565	-15.843719	-364.723328	957.706238	37.851196	-358.911560	960.620667	34.312073	-293.259003	861.173462	214.909973	-468.452881	1207.487915	181.159546	-477.201721	1204.902222	258.218201	-441.183990	1180.126221	140.386246	-473.507843	1173.691772	219.019119	-438.507599	1148.622925
773	7.7200	8.417869	-388.799561	1001.901001	64.485550	-382.754150	1005.037842	-15.836236	-364.729279	957.705627	37.858089	-358.916382	960.618652	34.314545	-293.260773	861.173828	215.082581	-468.212769	1207.449585	181.338120	-476.955658	1204.892212	258.352539	-440.974762	1180.053467	140.532806	-473.278870	1173.709717	219.113495	-438.315643	1148.582153
774	7.7300	8.428185	-388.806641	1001.899109	64.495193	-382.759979	1005.034119	-15.828807	-364.735199	957.705078	37.864937	-358.921173	960.616577	34.317009	-293.262512	861.174194	215.246887	-467.991089	1207.413452	181.508377	-476.729919	1204.882446	258.479431	-440.779419	1179.985962	140.672607	-473.069458	1173.727051	219.202301	-438.136658	1148.544556
775	7.7400	8.438416	-388.813690	1001.897217	64.504753	-382.765808	1005.030396	-15.821435	-364.741119	957.704468	37.871738	-358.925964	960.614502	34.319466	-293.264252	861.174500	215.398605	-467.789032	1207.381104	181.665863	-476.526154	1204.873535	258.595703	-440.598450	1179.925537	140.802246	-472.881500	1173.743408	219.283432	-437.971497	1148.510864
776	7.7500	8.448555	-388.820709	1001.895325	64.514229	-382.771637	1005.026672	-15.814119	-364.747040	957.703796	37.878494	-358.930756	960.612427	34.321907	-293.265991	861.174805	215.533798	-467.607574	1207.353394	181.806534	-476.345673	1204.865845	258.698303	-440.432281	1179.873657	140.918518	-472.716614	1173.758423	219.354935	-437.820862	1148.481812
777	7.7600	8.458605	-388.827698	1001.893433	64.523636	-382.777405	1005.023010	-15.806862	-364.752930	957.703186	37.885204	-358.935516	960.610352	34.324341	-293.267731	861.175049	215.648987	-467.447510	1207.331421	181.926773	-476.189514	1204.859985	258.784576	-440.281219	1179.831909	141.018616	-472.576111	1173.771851	219.415054	-437.685364	1148.457886
778	7.7700	8.468561	-388.834656	1001.891479	64.532951	-382.783173	1005.019287	-15.799663	-364.758789	957.702515	37.891865	-358.940308	960.608276	34.326759	-293.269440	861.175293	215.741257	-467.309448	1207.315796	182.023605	-476.058441	1204.856079	258.852325	-440.145538	1179.801147	141.100143	-472.460999	1173.783325	219.462326	-437.565491	1148.439697
779	7.7800	8.478424	-388.841583	1001.889587	64.542191	-382.788940	1005.015625	-15.792524	-364.764648	957.701782	37.898476	-358.945068	960.606201	34.329170	-293.271149	861.175537	215.808319	-467.193817	1207.307129	182.094666	-475.952942	1204.854614	258.899689	-440.025452	1179.782349	141.161209	-472.371857	1173.792603	219.495483	-437.461639	1148.427490
780	7.7900	8.488191	-388.848480	1001.887634	64.551338	-382.794647	1005.011963	-15.785446	-364.770477	957.701111	37.905037	-358.949829	960.604126	34.331566	-293.272858	861.175720	215.848557	-467.100922	1207.305542	182.138321	-475.873291	1204.855347	258.925446	-439.921143	1179.775757	141.200455	-472.309082	1173.799438	219.513657	-437.374084	1148.421143
781	7.8000	8.497861	-388.855347	1001.885742	64.560410	-382.800354	1005.008240	-15.778430	-364.776306	957.700378	37.911549	-358.954559	960.601990	34.333954	-293.274536	861.175903	215.861069	-467.030823	1207.311035	182.153656	-475.819397	1204.858521	258.928772	-439.832764	1179.781616	141.217072	-472.272644	1173.803345	219.516205	-437.302979	1148.420898
782	7.8100	8.507432	-388.862152	1001.883789	64.569389	-382.806061	1005.004578	-15.771477	-364.782135	957.699646	37.918007	-358.959290	960.599854	34.336327	-293.276245	861.176025	215.845657	-466.983429	1207.323486	182.140533	-475.791046	1204.863770	258.909454	-439.760345	1179.799683	141.210831	-472.262238	1173.804199	219.502869	-437.248352	1148.426514
783	7.8200	8.516904	-388.868958	1001.881836	64.578285	-382.811737	1005.000916	-15.764587	-364.787933	957.698853	37.924416	-358.964020	960.597778	34.338688	-293.277924	861.176147	215.802841	-466.958527	1207.342163	182.099518	-475.787720	1204.870850	258.867767	-439.703979	1179.829224	141.182053	-472.277283	1173.801758	219.473724	-437.210083	1148.437500
784	7.8300	8.526274	-388.875702	1001.879883	64.587090	-382.817383	1004.997314	-15.757763	-364.793701	957.698059	37.930771	-358.968750	960.595642	34.341038	-293.279572	861.176208	215.733795	-466.955688	1207.366455	182.031860	-475.808655	1204.879028	258.804535	-439.663605	1179.869507	141.131622	-472.316895	1173.795532	219.429123	-437.187988	1148.453491
785	7.8400	8.535542	-388.882446	1001.877930	64.595802	-382.822998	1004.993652	-15.751003	-364.799469	957.697266	37.937073	-358.973480	960.593506	34.343372	-293.281250	861.176331	215.640259	-466.974396	1207.395264	181.939438	-475.852997	1204.887939	258.720978	-439.639099	1179.919312	141.060883	-472.379944	1173.785400	219.369781	-437.181702	1148.473755
