Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z		
164	0	-35.182770	-340.929901	1007.686829	20.948927	-344.805420	1010.775940	-54.785179	-313.429596	963.501831	-0.980695	-317.282715	966.300171	7.303909	-253.159256	865.674255	165.672485	-377.740662	1227.776978	182.287979	-395.831024	1202.903442	121.992447	-340.077911	1236.671875	180.916122	-406.236420	1152.745361	121.669487	-348.639404	1187.275391			
165	0	-35.185036	-340.930817	1007.686646	20.946657	-344.806122	1010.776062	-54.787308	-313.429840	963.501770	-0.982746	-317.283386	966.299927	7.302775	-253.159698	865.674622	165.488953	-377.626526	1227.664429	182.100693	-395.742065	1202.814209	121.830132	-339.942230	1236.539185	180.718201	-406.185608	1152.667969	121.497154	-348.538635	1187.150757			
166	0	-35.187302	-340.931763	1007.686523	20.944384	-344.806915	1010.776306	-54.789433	-313.430084	963.501648	-0.984802	-317.284119	966.299683	7.301639	-253.160172	865.674927	165.264603	-377.498322	1227.570068	181.882889	-395.639313	1202.745605	121.620087	-339.798218	1236.417236	180.508057	-406.128235	1152.603638	121.295242	-348.435120	1187.035034			
167	0	-35.189564	-340.932739	1007.686401	20.942104	-344.807648	1010.776489	-54.791561	-313.430298	963.501526	-0.986861	-317.284790	966.299438	7.300500	-253.160660	865.675232	164.999329	-377.357086	1227.493896	181.634338	-395.523621	1202.697021	121.362267	-339.646698	1236.306274	180.285904	-406.064331	1152.551514	121.063919	-348.329193	1186.928711			
168	0	-35.191837	-340.933685	1007.686157	20.939823	-344.808441	1010.776733	-54.793701	-313.430573	963.501404	-0.988925	-317.285522	966.299194	7.299358	-253.161102	865.675598	164.693924	-377.204254	1227.435425	181.355576	-395.396301	1202.668457	121.057671	-339.488983	1236.206299	180.052170	-405.994263	1152.511597	120.803993	-348.221283	1186.831177			
169	0	-35.194118	-340.934601	1007.686035	20.937542	-344.809235	1010.776978	-54.795837	-313.430847	963.501282	-0.990992	-317.286224	966.298889	7.298215	-253.161606	865.675842	164.350143	-377.041840	1227.394165	181.047867	-395.259064	1202.658325	120.708321	-339.326752	1236.116577	179.807693	-405.918518	1152.483032	120.516922	-348.112183	1186.742432			
170	0	-35.196396	-340.935577	1007.685791	20.935255	-344.809998	1010.777222	-54.797985	-313.431152	963.501160	-0.993062	-317.286896	966.298645	7.297069	-253.162079	865.676147	163.970627	-376.872284	1227.369019	180.713165	-395.113922	1202.665405	120.317238	-339.161987	1236.036377	179.553528	-405.837677	1152.464722	120.204765	-348.002747	1186.661499			
171	0	-35.198681	-340.936554	1007.685669	20.932962	-344.810822	1010.777466	-54.800129	-313.431427	963.500977	-0.995136	-317.287659	966.298340	7.295921	-253.162567	865.676575	163.558807	-376.698181	1227.358398	180.354034	-394.963257	1202.687988	119.888336	-338.997101	1235.965210	179.291061	-405.752563	1152.455444	119.870148	-347.894073	1186.587524			
172	0	-35.200970	-340.937531	1007.685425	20.930672	-344.811584	1010.777710	-54.802288	-313.431702	963.500854	-0.997214	-317.288330	966.298096	7.294772	-253.163040	865.676880	163.118896	-376.522644	1227.360352	179.973663	-394.809631	1202.723267	119.426361	-338.834595	1235.902100	179.021896	-405.664001	1152.453857	119.516212	-347.787109	1186.520020			
173	0	-35.203259	-340.938477	1007.685303	20.928375	-344.812378	1010.777954	-54.804440	-313.432007	963.500732	-0.999295	-317.289093	966.297729	7.293620	-253.163513	865.677185	162.655746	-376.348663	1227.373047	179.575775	-394.655609	1202.769409	118.936783	-338.677094	1235.845581	178.747910	-405.572876	1152.458252	119.146568	-347.683075	1186.457642			
174	0	-35.205559	-340.939453	1007.685059	20.926079	-344.813232	1010.778076	-54.806602	-313.432343	963.500549	-1.001379	-317.289795	966.297485	7.292466	-253.163986	865.677551	162.174683	-376.179565	1227.393677	179.164551	-394.503967	1202.822998	118.425652	-338.527374	1235.794556	178.471115	-405.480072	1152.466797	118.765228	-347.582977	1186.399048			
175	0	-35.207851	-340.940491	1007.684937	20.923779	-344.813995	1010.778442	-54.808769	-313.432678	963.500427	-1.003467	-317.290558	966.297180	7.291309	-253.164505	865.677856	161.681564	-376.018372	1227.419800	178.744522	-394.357330	1202.881470	117.899529	-338.388031	1235.747192	178.193771	-405.386505	1152.477539	118.376495	-347.487823	1186.343384			
176	0	-35.210155	-340.941467	1007.684692	20.921476	-344.814850	1010.778687	-54.810932	-313.432983	963.500183	-1.005557	-317.291290	966.296936	7.290152	-253.164978	865.678162	161.182465	-375.868042	1227.448975	178.320541	-394.218109	1202.941284	117.365334	-338.261322	1235.702515	177.918182	-405.293060	1152.488403	117.984917	-347.398499	1186.288940			
177	0	-35.212456	-340.942474	1007.684570	20.919170	-344.815674	1010.778931	-54.813107	-313.433319	963.500000	-1.007650	-317.291992	966.296692	7.288992	-253.165482	865.678406	160.683746	-375.731110	1227.477783	177.897583	-394.088531	1202.999756	116.830261	-338.149384	1235.658691	177.646683	-405.200409	1152.497559	117.595200	-347.315552	1186.234619			
178	0	-35.214767	-340.943420	1007.684326	20.916862	-344.816498	1010.779114	-54.815281	-313.433716	963.499817	-1.009747	-317.292755	966.296387	7.287830	-253.165955	865.678772	160.191895	-375.609619	1227.503784	177.480865	-393.970398	1203.053101	116.301598	-338.053589	1235.613770	177.381714	-405.109253	1152.502930	117.212135	-347.239380	1186.178589			
179	0	-35.217072	-340.944427	1007.684082	20.914551	-344.817352	1010.779358	-54.817455	-313.434052	963.499695	-1.011846	-317.293488	966.296082	7.286668	-253.166473	865.679138	159.713348	-375.505096	1227.523804	177.075470	-393.864990	1203.098633	115.786690	-337.974915	1235.566528	177.125626	-405.019989	1152.502441	116.840477	-347.169952	1186.119507			
