Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
190	1.8900	9.312729	-388.234589	1001.463623	65.384171	-381.810242	1004.056763	-15.335590	-364.487061	957.353149	38.356815	-358.294006	959.851807	33.299885	-292.743530	860.529480	253.832794	-443.517212	1201.232422	221.861923	-458.042175	1200.890991	289.805878	-409.117676	1171.562378	178.832382	-461.017395	1172.690430	248.620270	-412.901428	1142.749756
191	1.9000	9.306554	-388.238342	1001.459961	65.377907	-381.814117	1004.054504	-15.341567	-364.490051	957.349121	38.350861	-358.297241	959.849243	33.296383	-292.745361	860.527710	253.756821	-443.551758	1201.118286	221.805359	-458.105164	1200.755859	289.704956	-409.093414	1171.482422	178.806732	-461.089996	1172.536499	248.557373	-412.875702	1142.628784
192	1.9100	9.300492	-388.242096	1001.456299	65.371765	-381.818054	1004.052185	-15.347466	-364.493103	957.345093	38.344986	-358.300476	959.846680	33.292923	-292.747223	860.525940	253.698273	-443.583008	1200.975952	221.768433	-458.168091	1200.593262	289.615204	-409.059021	1171.374146	178.800598	-461.164093	1172.358521	248.507324	-412.842957	1142.480103
193	1.9200	9.294544	-388.245911	1001.452637	65.365738	-381.822021	1004.049805	-15.353285	-364.496155	957.341125	38.339191	-358.303741	959.844055	33.289509	-292.749084	860.524231	253.660461	-443.608643	1200.802979	221.754349	-458.228760	1200.401367	289.539398	-409.012360	1171.234497	178.816116	-461.237885	1172.156006	248.471848	-412.802094	1142.302124
194	1.9300	9.288707	-388.249756	1001.449036	65.359818	-381.826019	1004.047485	-15.359027	-364.499237	957.337158	38.333477	-358.307037	959.841492	33.286133	-292.750977	860.522522	253.646423	-443.626190	1200.597412	221.765961	-458.284760	1200.178833	289.480103	-408.951538	1171.060547	178.855133	-461.309418	1171.928101	248.452454	-412.752167	1142.093018
195	1.9400	9.282980	-388.253632	1001.445435	65.354012	-381.830048	1004.045166	-15.364691	-364.502380	957.333252	38.327839	-358.310333	959.838928	33.282795	-292.752869	860.520813	253.658813	-443.633270	1200.357422	221.805771	-458.333740	1199.924683	289.439758	-408.874695	1170.849854	178.919083	-461.376709	1171.674927	248.450394	-412.692230	1141.851563
196	1.9500	9.277363	-388.257568	1001.441833	65.348312	-381.834106	1004.042786	-15.370278	-364.505493	957.329346	38.322277	-358.313660	959.836426	33.279503	-292.754791	860.519165	253.699890	-443.627625	1200.081909	221.875763	-458.373230	1199.638428	289.420471	-408.780457	1170.600220	179.009003	-461.437683	1171.396484	248.466690	-412.621643	1141.576904
197	1.9600	9.271853	-388.261505	1001.438232	65.342720	-381.838196	1004.040466	-15.375790	-364.508667	957.325439	38.316792	-358.317017	959.833862	33.276245	-292.756714	860.517517	253.771393	-443.607117	1199.770020	221.977402	-458.400909	1199.319946	289.424042	-408.667725	1170.310059	179.125381	-461.490326	1171.093506	248.501984	-412.539856	1141.268799
198	1.9700	9.266452	-388.265503	1001.434631	65.337234	-381.842316	1004.038086	-15.381227	-364.511871	957.321594	38.311386	-358.320404	959.831299	33.273033	-292.758667	860.515869	253.874542	-443.569916	1199.421631	222.111511	-458.414581	1198.969727	289.452026	-408.535950	1169.978027	179.268127	-461.532532	1170.766846	248.556549	-412.446655	1140.926880
199	1.9800	9.261156	-388.269531	1001.431030	65.331856	-381.846466	1004.035706	-15.386588	-364.515076	957.317810	38.306053	-358.323792	959.828796	33.269855	-292.760620	860.514221	254.009949	-443.514526	1199.036987	222.278275	-458.412140	1198.588623	289.505524	-408.385223	1169.603516	179.436584	-461.562378	1170.417847	248.630295	-412.342041	1140.552002
200	1.9900	9.255964	-388.273590	1001.427490	65.326584	-381.850647	1004.033325	-15.391876	-364.518311	957.313965	38.300793	-358.327209	959.826294	33.266720	-292.762604	860.512573	254.177612	-443.439850	1198.616943	222.477081	-458.391754	1198.178101	289.585266	-408.216217	1169.186279	179.629379	-461.578033	1170.048340	248.722641	-412.226349	1140.145020
201	2.0000	9.250877	-388.277679	1001.423950	65.321411	-381.854858	1004.030945	-15.397091	-364.521606	957.310242	38.295609	-358.330658	959.823792	33.263622	-292.764587	860.510986	254.376801	-443.345154	1198.162720	222.706604	-458.351868	1197.740234	289.691559	-408.030304	1168.726563	179.844498	-461.577789	1169.660400	248.832520	-412.100128	1139.707275
202	2.0100	9.245893	-388.281799	1001.420410	65.316345	-381.859100	1004.028564	-15.402233	-364.524872	957.306458	38.290497	-358.334137	959.821289	33.260563	-292.766602	860.509399	254.606033	-443.230255	1197.676392	222.964630	-458.291260	1197.277466	289.824127	-407.829498	1168.225586	180.079193	-461.560242	1169.256470	248.958389	-411.964355	1139.241089
203	2.0200	9.241010	-388.285980	1001.416870	65.311378	-381.863373	1004.026184	-15.407304	-364.528198	957.302734	38.285458	-358.337616	959.818787	33.257542	-292.768616	860.507813	254.863022	-443.095520	1197.160400	223.248108	-458.209045	1196.792603	289.982056	-407.616364	1167.684692	180.330048	-461.524261	1168.839355	249.098114	-411.820190	1138.749023
204	2.0300	9.236227	-388.290161	1001.413330	65.306519	-381.867676	1004.023743	-15.412304	-364.531555	957.299072	38.280487	-358.341125	959.816345	33.254559	-292.770660	860.506226	255.144562	-442.941772	1196.617920	223.553070	-458.104950	1196.289429	290.163666	-407.394043	1167.106445	180.592926	-461.469086	1168.411987	249.249008	-411.669067	1138.234009
205	2.0400	9.231544	-388.294403	1001.409790	65.301750	-381.871979	1004.021362	-15.417233	-364.534912	957.295410	38.275589	-358.344666	959.813843	33.251614	-292.772736	860.504700	255.446518	-442.770355	1196.052612	223.874649	-457.979126	1195.771484	290.366455	-407.165985	1166.494019	180.863007	-461.394470	1167.977417	249.407806	-411.512604	1137.699951
206	2.0500	9.226958	-388.298676	1001.406311	65.297081	-381.876343	1004.018921	-15.422092	-364.538300	957.291748	38.270763	-358.348236	959.811401	33.248703	-292.774780	860.503113	255.763718	-442.583160	1195.468994	224.207062	-457.832397	1195.243286	290.586945	-406.935852	1165.851807	181.134872	-461.300629	1167.539185	249.570618	-411.352570	1137.151001
207	2.0600	9.222469	-388.302979	1001.402771	65.292511	-381.880707	1004.016541	-15.426884	-364.541718	957.288086	38.266006	-358.351807	959.808960	33.245831	-292.776886	860.501587	256.089996	-442.382538	1194.872070	224.543579	-457.666168	1194.709229	290.820648	-406.707397	1165.185059	181.402496	-461.188416	1167.100464	249.732956	-411.190948	1136.591919
208	2.0700	9.218078	-388.307312	1001.399292	65.288033	-381.885132	1004.014099	-15.431606	-364.545166	957.284546	38.261318	-358.355408	959.806519	33.242992	-292.778992	860.500122	256.418091	-442.171356	1194.267334	224.876633	-457.482574	1194.174194	291.061859	-406.484283	1164.500122	181.659348	-461.059235	1166.664551	249.889771	-411.029602	1136.027954
209	2.0800	9.213779	-388.311676	1001.395813	65.283653	-381.889557	1004.011658	-15.436261	-364.548615	957.280945	38.256695	-358.359009	959.804077	33.240192	-292.781097	860.498596	256.739655	-441.952789	1193.661133	225.197769	-457.284302	1193.643311	291.303802	-406.269928	1163.804688	181.898422	-460.915161	1166.234619	250.035477	-410.870544	1135.464722
210	2.0900	9.209576	-388.316071	1001.392334	65.279366	-381.894043	1004.009216	-15.440849	-364.552124	957.277405	38.252144	-358.362671	959.801636	33.237427	-292.783234	860.497131	257.045441	-441.730377	1193.060181	225.497864	-457.074799	1193.121704	291.538513	-406.067352	1163.107300	182.112411	-460.758881	1165.813721	250.163986	-410.715668	1134.908325
211	2.1000	9.205463	-388.320496	1001.388855	65.275177	-381.898529	1004.006775	-15.445372	-364.555634	957.273865	38.247658	-358.366333	959.799255	33.234695	-292.785370	860.495667	257.325317	-441.507904	1192.471680	225.767151	-456.858063	1192.614746	291.757019	-405.879211	1162.417603	182.293777	-460.593689	1165.404785	250.268875	-410.566711	1134.364990
212	2.1100	9.201443	-388.324951	1001.385376	65.271072	-381.903046	1004.004333	-15.449829	-364.559174	957.270386	38.243237	-358.370026	959.796814	33.231998	-292.787537	860.494202	257.568542	-441.289307	1191.903198	225.995529	-456.638550	1192.127441	291.949463	-405.707428	1161.745972	182.434875	-460.423340	1165.010254	250.343384	-410.425385	1133.841309
213	2.1200	9.197513	-388.329468	1001.381958	65.267059	-381.907593	1004.001892	-15.454222	-364.562714	957.266907	38.238880	-358.373718	959.794434	33.229336	-292.789703	860.492737	257.763977	-441.078613	1191.362183	226.172684	-456.421143	1191.664795	292.105286	-405.553467	1161.103638	182.528152	-460.252075	1164.632446	250.380646	-410.293091	1133.343628
214	2.1300	9.193671	-388.333984	1001.378479	65.263130	-381.912170	1003.999451	-15.458550	-364.566284	957.263428	38.234589	-358.377441	959.792053	33.226707	-292.791901	860.491333	257.900299	-440.879791	1190.856201	226.288406	-456.211090	1191.231445	292.213623	-405.418091	1160.501587	182.566299	-460.084381	1164.273193	250.373764	-410.171051	1132.878296
215	2.1400	9.189918	-388.338562	1001.375061	65.259300	-381.916779	1003.996948	-15.462816	-364.569916	957.260010	38.230358	-358.381195	959.789673	33.224113	-292.794098	860.489868	257.966461	-440.696655	1190.392578	226.332855	-456.013580	1190.831787	292.263397	-405.301422	1159.951294	182.542389	-459.924988	1163.934204	250.316010	-410.060303	1132.451538
216	2.1500	9.186251	-388.343140	1001.371643	65.255547	-381.921387	1003.994507	-15.467019	-364.573517	957.256592	38.226192	-358.384949	959.787292	33.221554	-292.796295	860.488464	257.951935	-440.532806	1189.977783	226.296829	-455.833954	1190.469360	292.243835	-405.203033	1159.463501	182.450043	-459.778595	1163.616333	250.200989	-409.961578	1132.068848
217	2.1600	9.182669	-388.347778	1001.368225	65.251884	-381.926056	1003.992004	-15.471161	-364.577179	957.253174	38.222092	-358.388733	959.784912	33.219025	-292.798523	860.487061	257.847046	-440.391510	1189.617920	226.172028	-455.677155	1190.147461	292.144867	-405.122040	1159.048096	182.283630	-459.649872	1163.320557	250.022812	-409.875427	1131.735474
218	2.1700	9.179173	-388.352417	1001.364807	65.248306	-381.930725	1003.989563	-15.475242	-364.580841	957.249817	38.218048	-358.392548	959.782532	33.216530	-292.800781	860.485718	257.643341	-440.275604	1189.317871	225.951294	-455.547821	1189.868164	291.957214	-405.057190	1158.713867	182.038330	-459.543030	1163.046875	249.776199	-409.802063	1131.455444
219	2.1800	9.175758	-388.357117	1001.361389	65.244804	-381.935455	1003.987061	-15.479261	-364.584534	957.246460	38.214069	-358.396362	959.780212	33.214066	-292.803040	860.484314	257.333710	-440.187347	1189.081665	225.628815	-455.449890	1189.633301	291.673004	-405.006958	1158.468018	181.710281	-459.461945	1162.795410	249.456726	-409.741608	1131.232300
220	2.1900	9.172426	-388.361816	1001.358032	65.241394	-381.940186	1003.984558	-15.483223	-364.588257	957.243164	38.210148	-358.400208	959.777893	33.211632	-292.805298	860.482971	256.912872	-440.128510	1188.911621	225.200317	-455.386597	1189.443604	291.285919	-404.969666	1158.316040	181.296646	-459.409698	1162.565552	249.060867	-409.693909	1131.068481
221	2.2000	9.169175	-388.366577	1001.354614	65.238060	-381.944946	1003.982056	-15.487125	-364.592010	957.239868	38.206287	-358.404083	959.775513	33.209232	-292.807587	860.481628	256.377258	-440.100128	1188.809204	224.663101	-455.360138	1189.299072	290.791443	-404.943787	1158.261230	180.795700	-459.388672	1162.356689	248.586136	-409.658691	1130.965210
222	2.2100	9.166004	-388.371338	1001.351257	65.234810	-381.949707	1003.979553	-15.490970	-364.595764	957.236572	38.202484	-358.407959	959.773193	33.206860	-292.809875	860.480286	255.725281	-440.102539	1188.774170	224.016144	-455.371704	1189.198730	290.187073	-404.927887	1158.304565	180.206787	-459.400269	1162.167725	248.031158	-409.635468	1130.922852
223	2.2200	9.162911	-388.376160	1001.347839	65.231628	-381.954529	1003.977051	-15.494757	-364.599548	957.233337	38.198738	-358.411865	959.770874	33.204521	-292.812195	860.479004	254.957382	-440.135437	1188.804932	223.260162	-455.421234	1189.141357	289.472473	-404.920868	1158.444824	179.530396	-459.444885	1161.997437	247.395767	-409.623749	1130.940430
224	2.2300	9.159896	-388.380981	1001.344482	65.228531	-381.959351	1003.974548	-15.498487	-364.603333	957.230042	38.195049	-358.415802	959.768555	33.202213	-292.814514	860.477661	254.075989	-440.197723	1188.898804	222.397461	-455.507568	1189.124634	288.649414	-404.921906	1158.678467	178.768112	-459.521881	1161.844360	246.680954	-409.622894	1131.015747
225	2.2400	9.156957	-388.385864	1001.341125	65.225510	-381.964233	1003.972046	-15.502162	-364.607178	957.226868	38.191418	-358.419739	959.766296	33.199932	-292.816864	860.476379	253.085388	-440.287628	1189.051514	221.431992	-455.628326	1189.145752	287.721771	-404.930634	1159.000000	177.922577	-459.629578	1161.706909	245.888901	-409.632202	1131.145752
226	2.2500	9.154093	-388.390747	1001.337769	65.222565	-381.969116	1003.969543	-15.505781	-364.611023	957.223633	38.187840	-358.423706	959.763977	33.197681	-292.819214	860.475098	251.991714	-440.402802	1189.258057	220.369202	-455.780060	1189.201294	286.695435	-404.946838	1159.401733	176.997467	-459.765350	1161.583374	245.022888	-409.650940	1131.326294
227	2.2600	9.151303	-388.395660	1001.334412	65.219696	-381.974030	1003.967041	-15.509347	-364.614868	957.220459	38.184315	-358.427673	959.761719	33.195461	-292.821564	860.473816	250.802673	-440.540222	1189.512085	219.215897	-455.958435	1189.287476	285.577972	-404.970581	1159.874146	175.997437	-459.925781	1161.471924	244.087265	-409.678223	1131.552368
